DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
11808,78.0052,5.3179,1.963055235,2.6159,0.0846,65.6421,119.3118,120.2386
11808.5,58.4939,5.4454,1.874228415,2.636,0.0671,60.7897,112.8272,112.8516
11809,50.2188,5.4458,1.787034118,2.6296,0.0658,62.3301,112.4637,112.5712
11809.5,58.0301,5.3171,1.635707672,2.5701,0.0847,67.6072,117.0522,117.4219
11810,77.7943,4.9323,1.525013174,2.5237,0.1169,75.8994,124.0039,124.1649
11810.5,97.3317,4.5126,1.341466576,2.5042,0.1282,80.8789,129.0511,129.3241
11811,102.9953,4.1484,1.157574619,2.5139,0.1415,79.2846,131.705,132.5144
11811.5,103.9914,3.9522,1.128497168,2.5158,0.1489,79.9906,131.5409,132.2965
11812,103.0438,3.8651,1.29909678,2.5114,0.1525,78.3768,130.6828,131.1059
11812.5,105.5365,3.9199,1.289128106,2.5083,0.1602,78.003,132.6042,132.9652
11813,107.0944,4.0885,1.100855581,2.4962,0.1621,80.6824,135.685,135.896
11813.5,129.7081,4.2117,0.909941909,2.4848,0.1645,82.6088,139.7372,139.8743
11814,155.8618,4.2478,1.018998246,2.4809,0.1777,85.0301,142.3447,142.5183
11814.5,158.603,4.2317,1.090443938,2.4916,0.1905,84.6673,140.5001,141.0917
11815,133.7767,4.2448,1.118887441,2.5078,0.1832,81.1494,135.8101,136.9654
11815.5,103.0147,4.32,1.244383764,2.5299,0.1721,77.3605,130.8142,131.2703
11816,89.6021,4.5084,1.480852418,2.5528,0.1524,74.4713,125.1199,125.533
11816.5,76.9055,4.7193,1.499358901,2.5769,0.1304,71.1344,121.0858,122.4336
11817,65.7235,4.8662,1.471848747,2.5842,0.1062,72.076,118.0252,119.525
11817.5,62.6593,4.9097,1.645411952,2.5742,0.1093,73.6944,116.6347,117.721
11818,68.6574,4.9123,1.672523443,2.5654,0.1144,72.2934,118.0468,119.8417
11818.5,69.2599,4.9316,1.486926269,2.5515,0.1118,67.9756,120.6056,121.9056
11819,70.9202,4.9663,1.429101643,2.5321,0.1099,69.538,122.0947,122.4702
11819.5,71.6215,5.11,1.703198317,2.4986,0.1252,74.9138,122.3236,123.5637
11820,73.1644,5.2986,1.933613863,2.4981,0.14,78.518,121.2603,122.3475
11820.5,69.6319,5.5446,2.197248019,2.5269,0.1264,77.0598,119.5077,120.1953
11821,62.3083,5.7011,2.190431434,2.5714,0.0954,68.335,116.8499,117.5644
11821.5,56.5702,5.7076,1.862140387,2.5968,0.0733,59.3183,113.2147,113.7451
11822,51.8073,5.5229,1.522200412,2.6123,0.0593,60.0464,112.5723,112.5896
11822.5,54.4605,5.1338,1.209258383,2.6158,0.0779,66.3712,114.9886,115.2768
11823,67.7131,4.7023,1.213057719,2.5957,0.1183,73.2009,120.1874,121.1511
11823.5,84.273,4.4239,1.372022076,2.5654,0.1746,77.5139,125.246,125.8236
11824,92.7494,4.3437,1.360314649,2.5505,0.1667,75.4207,127.4228,127.5453
11824.5,90.282,4.4301,1.195423881,2.5624,0.1386,76.0794,127.4722,127.847
11825,87.6063,4.4205,1.272665751,2.5646,0.1398,77.3947,128.2308,128.3737
11825.5,93.0497,4.3832,1.422513512,2.5403,0.1532,80.0234,131.6477,132.272
11826,101.4352,4.3287,1.485215164,2.5015,0.1761,83.9639,135.9599,136.666
11826.5,109.5444,4.3266,1.349972425,2.4752,0.1772,86.0746,139.5056,140.0992
11827,115.8727,4.3692,1.249034151,2.4762,0.1859,86.5067,140.9982,141.0914
11827.5,120.3248,4.5524,1.289080343,2.487,0.1868,82.2069,139.2128,139.3866
11828,108.1107,4.7577,1.275740368,2.504,0.1636,78.9094,137.2022,137.3172
11828.5,96.1794,4.8268,1.206158816,2.4973,0.1453,79.1426,135.754,136.059
11829,93.6046,4.5828,1.161564439,2.4836,0.1517,82.8266,138.3299,138.6413
11829.5,106.5935,4.2565,1.443854477,2.4619,0.1718,88.9718,141.7318,142.0905
